"id","tournament_title","tournament_link","tournament_year","tournament_start_date","last_update"
55,Laver Cup,/en/scores/archive/laver-cup/9210/2019/draws?matchtype=singles,2019,2019-09-20 00:00:00,
3,Pune,/en/scores/archive/pune/891/2019/draws?matchtype=singles,2019,2018-12-31 00:00:00,2020-09-29 11:03:58
4,Sydney,/en/scores/archive/sydney/338/2019/draws?matchtype=singles,2019,2019-01-06 00:00:00,2020-09-29 11:04:01
5,Auckland,/en/scores/archive/auckland/301/2019/draws?matchtype=singles,2019,2019-01-07 00:00:00,2020-09-29 11:04:05
6,Australian Open,/en/scores/archive/australian-open/580/2019/draws?matchtype=singles,2019,2019-01-14 00:00:00,2020-09-29 11:06:06
7,Cordoba,/en/scores/archive/cordoba/9158/2019/draws?matchtype=singles,2019,2019-02-04 00:00:00,2020-09-29 11:06:19
8,Montpellier,/en/scores/archive/montpellier/375/2019/draws?matchtype=singles,2019,2019-02-04 00:00:00,2020-09-29 11:06:22
9,Sofia,/en/scores/archive/sofia/7434/2019/draws?matchtype=singles,2019,2019-02-04 00:00:00,2020-09-29 11:06:27
10,Rotterdam,/en/scores/archive/rotterdam/407/2019/draws?matchtype=singles,2019,2019-02-11 00:00:00,2020-09-29 11:06:35
12,Buenos Aires,/en/scores/archive/buenos-aires/506/2019/draws?matchtype=singles,2019,2019-02-11 00:00:00,2020-09-29 11:06:40
13,Rio de Janeiro,/en/scores/archive/rio-de-janeiro/6932/2019/draws?matchtype=singles,2019,2019-02-18 00:00:00,2020-09-29 11:06:43
14,Marseille,/en/scores/archive/marseille/496/2019/draws?matchtype=singles,2019,2019-02-18 00:00:00,2020-09-29 11:06:44
15,Delray Beach,/en/scores/archive/delray-beach/499/2019/draws?matchtype=singles,2019,2019-02-18 00:00:00,2020-09-29 11:06:46
16,Dubai,/en/scores/archive/dubai/495/2019/draws?matchtype=singles,2019,2019-02-25 00:00:00,2020-09-29 11:06:48
17,Acapulco,/en/scores/archive/acapulco/807/2019/draws?matchtype=singles,2019,2019-02-25 00:00:00,2020-09-29 11:06:50
18,Sao Paulo,/en/scores/archive/sao-paulo/533/2019/draws?matchtype=singles,2019,2019-02-25 00:00:00,2020-09-29 11:06:52
19,ATP Masters 1000 Indian Wells,/en/scores/archive/indian-wells/404/2019/draws?matchtype=singles,2019,2019-03-07 00:00:00,2020-09-29 11:06:57
21,Houston,/en/scores/archive/houston/717/2019/draws?matchtype=singles,2019,2019-04-08 00:00:00,2020-09-29 11:07:03
22,Marrakech,/en/scores/archive/marrakech/360/2019/draws?matchtype=singles,2019,2019-04-08 00:00:00,2020-09-29 11:07:05
