"id","name","country_code"
1,Novak Djokovic,srb
2,Damir Dzumhur,bih
3,Marton Fucsovics,hun
4,Marius Copil,rou
5,Andrey Rublev,rus
6,Andreas Seppi,ita
7,Albert Ramos-Vinolas,esp
8,Nikoloz Basilashvili,geo
9,Karen Khachanov,rus
10,Stan Wawrinka,sui
11,Robin Haase,ned
12,Nicolas Jarry,chi
13,Mubarak Shannan Zayid,qat
14,Guillermo Garcia-Lopez,esp
15,Matteo Berrettini,ita
16,Roberto Bautista Agut,esp
17,David Goffin,bel
18,Ricardas Berankis,ltu
19,Dusan Lajovic,srb
20,Adrian Mannarino,fra
21,Guido Pella,arg
22,Cem Ilkel,tur
23,Sergiy Stakhovsky,ukr
24,Marco Cecchinato,ita
25,Fernando Verdasco,esp
26,Paolo Lorenzi,ita
27,Philipp Kohlschreiber,ger
28,Tomas Berdych,cze
29,Maximilian Marterer,ger
30,Peter Gojowczyk,ger
31,Pierre-Hugues Herbert,fra
32,Dominic Thiem,aut
33,Taro Daniel,jpn
34,bye,""
35,Thanasi Kokkinakis,aus
36,Jo-Wilfried Tsonga,fra
37,Alex Bolt,aus
38,Jordan Thompson,aus
39,Alexei Popyrin,aus
40,Alex de Minaur,aus
41,Daniil Medvedev,rus
42,James Duckworth,aus
43,Andy Murray,gbr
44,Leonardo Mayer,arg
45,Miomir Kecmanovic,srb
46,Aljaz Bedene,slo
47,Milos Raonic,can
48,Nick Kyrgios,aus
49,Ryan Harrison,usa
50,Jeremy Chardy,fra
51,Jan-Lennard Struff,ger
52,Yasutaka Uchiyama,jpn
53,Ugo Humbert,fra
54,Kyle Edmund,gbr
55,Grigor Dimitrov,bul
56,Yoshihito Nishioka,jpn
57,John Millman,aus
58,Tennys Sandgren,usa
59,Taylor Fritz,usa
60,Denis Kudla,usa
61,Kei Nishikori,jpn
62,Kevin Anderson,rsa
63,Laslo Djere,srb
64,Arjun Kadhe,ind
65,Simone Bolelli,ita
66,Denis Istomin,uzb
67,Radu Albot,mda
68,Jaume Munar,esp
69,Gilles Simon,fra
70,Ilya Ivashka,blr
71,Hubert Hurkacz,pol
72,Antoine Hoang,fra
73,Jiri Vesely,cze
74,Thiago Monteiro,bra
75,Benoit Paire,fra
76,Roberto Carballes Baena,esp
77,Steve Darcis,bel
78,Michael Mmoh,usa
79,Prajnesh Gunneswaran,ind
80,Marcel Granollers,esp
81,Ramkumar Ramanathan,ind
82,Malek Jaziri,tun
83,Pablo Andujar,esp
84,Evgeny Donskoy,rus
85,Felix Auger-Aliassime,can
86,Ivo Karlovic,cro
87,Ernests Gulbis,lat
88,Pedro Sousa,por
89,Hyeon Chung,kor
90,Stefanos Tsitsipas,gre
91,Matthew Ebden,aus
92,Guido Andreozzi,arg
93,Martin Klizan,svk
